plot.id,sub.samp,date,habitat,species.name,male,female,total
P1,sub1,07/03/2025,grass,A.species,10,2,12
P1,sub1,07/03/2025,grass,B.species,6,4,10
P1,sub1,07/03/2025,grass,C.species,2,3,5
P1,sub2,07/03/2025,grass,D.species,1,2,3
P1,sub2,07/03/2025,grass,A.species,12,4,16
P2,sub1,07/03/2025,grass,C.species,12,12,24
P2,sub1,07/03/2025,grass,F.species,9,1,10
P2,sub1,07/03/2025,grass,A.species,8,1,9
P2,sub1,07/03/2025,grass,D.species,15,10,25
P2,sub1,07/03/2025,grass,E.species,9,3,12
P2,sub2,07/03/2025,grass,A.species,23,1,24
P2,sub2,07/03/2025,grass,E.species,1,2,3
P3,sub1,07/03/2025,grass,E.species,20,4,24
P3,sub2,07/03/2025,grass,A.species,3,8,11
P3,sub2,07/03/2025,grass,B.species,12,10,22
P3,sub2,07/03/2025,grass,C.species,5,5,10
P4,sub1,07/03/2025,grass,C.species,15,5,20
P4,sub1,07/03/2025,grass,A.species,10,16,26
P4,sub2,07/03/2025,grass,A.species,3,10,13
P5,sub1,07/03/2025,grass,B.species,4,8,12
P5,sub1,07/03/2025,grass,D.species,8,1,9
P5,sub1,07/03/2025,grass,F.species,9,1,10
P5,sub1,07/03/2025,grass,A.species,6,2,8
P5,sub2,07/03/2025,grass,F.species,1,9,10
P6,sub1,07/03/2025,heath,B.species,7,3,10
P6,sub2,07/03/2025,heath,B.species,5,1,6
P6,sub2,07/03/2025,heath,D.species,7,2,9
P7,sub1,07/03/2025,heath,F.species,10,12,22
P7,sub1,07/03/2025,heath,A.species,1,2,3
P8,sub1,07/03/2025,heath,A.species,11,6,17
P8,sub1,07/03/2025,heath,C.species,12,10,22
P8,sub2,07/03/2025,heath,C.species,10,9,19
P8,sub2,07/03/2025,heath,F.species,2,2,4
P9,sub1,07/03/2025,heath,E.species,3,9,12
P9,sub2,07/03/2025,heath,E.species,1,2,3
P10,sub1,07/03/2025,heath,F.species,1,8,9
P10,sub1,07/03/2025,heath,E.species,1,5,6
P10,sub1,07/03/2025,heath,D.species,5,6,11
P10,sub1,07/03/2025,heath,B.species,6,12,18
P10,sub1,07/03/2025,heath,A.species,7,1,8
P10,sub1,07/03/2025,heath,C.species,13,1,14
P10,sub2,07/03/2025,heath,A.species,6,7,13
